subj,session,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt
1,1,3,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,4,0.284172,-120.248224,True,0.895
1,1,3,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,5,0.355215,31.293845,True,0.895
1,1,3,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,6,0.426259,-137.250528,True,0.895
1,1,3,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_1.wav,1,0,0.000000,-87.527114,False,0.895
1,1,3,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_1.wav,1,1,0.071043,-24.885537,False,0.895
1,1,3,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_1.wav,1,2,0.142086,25.492299,False,0.895
1,1,3,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_1.wav,1,3,0.213129,-85.109295,False,0.895
1,1,3,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_1.wav,1,4,0.284172,41.982644,False,0.895
1,1,3,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_1.wav,1,5,0.355215,-147.448489,False,0.895
1,1,3,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_1.wav,1,6,0.426259,3.412386,False,0.895
1,1,4,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_0.wav,0,0,0.000000,9.896041,False,2.876
1,1,4,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_0.wav,0,1,0.071043,101.528400,False,2.876
1,1,4,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_0.wav,0,2,0.142086,-68.097850,False,2.876
1,1,4,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_0.wav,0,3,0.213129,-142.658303,False,2.876
1,1,4,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_0.wav,0,4,0.284172,-120.248224,False,2.876
1,1,4,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_0.wav,0,5,0.355215,31.293845,False,2.876
1,1,4,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_0.wav,0,6,0.426259,-137.250528,False,2.876
1,1,4,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_189.wav,1,0,0.000000,53.448621,True,2.876
1,1,4,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_189.wav,1,1,0.071043,82.292801,True,2.876
