,type,subject,session,experimentor,segment,kernel_value
110,controls,15,1,jeulin,5,2.3045839024920283
111,controls,15,1,jeulin,6,0.8689506685217274
112,controls,15,2,jeulin,0,-0.2732323828628955
113,controls,15,2,jeulin,1,-0.2699945832181604
114,controls,15,2,jeulin,2,-0.11137724185794856
115,controls,15,2,jeulin,3,-0.5070369737948012
116,controls,15,2,jeulin,4,0.2423416067870245
117,controls,15,2,jeulin,5,2.378195841971506
118,controls,15,2,jeulin,6,0.931885556298822
119,controls,16,1,jeulin,0,-0.4950156621336506
120,controls,16,1,jeulin,1,0.46463727835172064
121,controls,16,1,jeulin,2,-0.0008183180741856284
122,controls,16,1,jeulin,3,0.44922911163810586
123,controls,16,1,jeulin,4,0.672499384132387
124,controls,16,1,jeulin,5,2.2711687037380472
125,controls,16,1,jeulin,6,0.8525265549665045
126,controls,16,2,jeulin,0,0.09689058828901538
127,controls,16,2,jeulin,1,-0.1524665038164519
128,controls,16,2,jeulin,2,-0.3395592977444089
129,controls,16,2,jeulin,3,-0.5016188614092573
130,controls,16,2,jeulin,4,0.2862979963373177
131,controls,16,2,jeulin,5,2.518662790914367
132,controls,16,2,jeulin,6,0.4181092958372106
133,controls,17,1,jeulin,0,0.3180461672558892
134,controls,17,1,jeulin,1,0.6256142509971776
135,controls,17,1,jeulin,2,0.01671820703120716
136,controls,17,1,jeulin,3,-0.3699371296580555
137,controls,17,1,jeulin,4,1.5395737884352219
138,controls,17,1,jeulin,5,1.905118193899348
139,controls,17,1,jeulin,6,0.6087344933006545
140,controls,17,2,jeulin,0,-0.4223700888844255
141,controls,17,2,jeulin,1,0.40032630787750495
142,controls,17,2,jeulin,2,-0.12343523115714161
143,controls,17,2,jeulin,3,0.09965598706064634
144,controls,17,2,jeulin,4,0.09938752632282
145,controls,17,2,jeulin,5,2.5253925774239927
146,controls,17,2,jeulin,6,0.49868751006247575
147,controls,18,1,jeulin,0,0.2639163712157422
148,controls,18,1,jeulin,1,0.20892476495702403
149,controls,18,1,jeulin,2,0.1747026184961176
150,controls,18,1,jeulin,3,-0.3665993662473029
151,controls,18,1,jeulin,4,0.8667084774909423
152,controls,18,1,jeulin,5,2.4165395956635876
153,controls,18,1,jeulin,6,0.36184981551057793
154,controls,18,2,jeulin,0,0.5436878027456605
155,controls,18,2,jeulin,1,0.09284494684471763
156,controls,18,2,jeulin,2,0.43105908998960474
157,controls,18,2,jeulin,3,-0.03556422631361865
158,controls,18,2,jeulin,4,0.5098791296849141
159,controls,18,2,jeulin,5,2.484318715633848
160,controls,18,2,jeulin,6,-0.27729123317946086
161,controls,19,1,jeulin,0,-0.1964931328711897
162,controls,19,1,jeulin,1,-0.018294990915790676
163,controls,19,1,jeulin,2,-0.29241522483101556
164,controls,19,1,jeulin,3,-0.26191034338247965
165,controls,19,1,jeulin,4,0.5254213832457355
166,controls,19,1,jeulin,5,2.494790042822921
167,controls,19,1,jeulin,6,0.5539919337119458
168,controls,19,2,jeulin,0,0.7692118026738821
169,controls,19,2,jeulin,1,0.0652877821008674
170,controls,19,2,jeulin,2,-0.09960509382066578
171,controls,19,2,jeulin,3,-0.3175629939498743
172,controls,19,2,jeulin,4,0.22648122272398394
173,controls,19,2,jeulin,5,2.4976928965516874
174,controls,19,2,jeulin,6,0.05932730031618791
175,controls,20,1,jeulin,0,-0.007624569288209783
176,controls,20,1,jeulin,1,0.4283534504329204
177,controls,20,1,jeulin,2,0.4112527062439815
178,controls,20,1,jeulin,3,0.7790419594365003
179,controls,20,1,jeulin,4,1.164345183792774
180,controls,20,1,jeulin,5,2.1349577135977693
181,controls,20,1,jeulin,6,0.3559155498396735
182,controls,20,2,jeulin,0,0.36591716661009577
183,controls,20,2,jeulin,1,0.17592301317396383
184,controls,20,2,jeulin,2,0.6654342140073449
185,controls,20,2,jeulin,3,1.1072720861189078
186,controls,20,2,jeulin,4,0.5314037371514668
187,controls,20,2,jeulin,5,2.164754275167856
188,controls,20,2,jeulin,6,0.44469152345203045
189,controls,21,1,jeulin,0,-0.2315651128346754
190,controls,21,1,jeulin,1,-0.13136820719372747
191,controls,21,1,jeulin,2,-0.3516265264789886
192,controls,21,1,jeulin,3,1.318896331282444
193,controls,21,1,jeulin,4,1.035097511706066
194,controls,21,1,jeulin,5,1.9841244092261197
195,controls,21,1,jeulin,6,0.24044690855906956
196,controls,21,2,jeulin,0,-0.07419198218241865
197,controls,21,2,jeulin,1,-0.18329464397265402
198,controls,21,2,jeulin,2,-0.3711736177642305
199,controls,21,2,jeulin,3,1.195630420975771
200,controls,21,2,jeulin,4,1.0703556735221431
201,controls,21,2,jeulin,5,2.060823152142922
202,controls,21,2,jeulin,6,-0.03071372550774585
203,patients,22,1,bardet,0,1.3862703411996964
204,patients,22,1,bardet,1,0.5341770398799559
205,patients,22,1,bardet,2,0.41771097328317136
206,patients,22,1,bardet,3,0.10883795075495968
207,patients,22,1,bardet,4,1.7375176207308312
208,patients,22,1,bardet,5,0.638248975320919
209,patients,22,1,bardet,6,1.0863940526351932
210,patients,23,1,bardet,0,1.1810934120165444
211,patients,23,1,bardet,1,0.11684383666694642
212,patients,23,1,bardet,2,1.122949278864816
213,patients,23,1,bardet,3,-0.3399570812818348
214,patients,23,1,bardet,4,1.7021105797185498
215,patients,23,1,bardet,5,0.28581179195970746
216,patients,23,1,bardet,6,-1.1117154149755921
217,patients,24,1,bardet,0,-0.6401520248189515
218,patients,24,1,bardet,1,1.3208530848909532
219,patients,24,1,bardet,2,-0.6794724713969043
220,patients,24,1,bardet,3,-0.33345750912445227
221,patients,24,1,bardet,4,-0.02398508354320621
222,patients,24,1,bardet,5,1.370403528269553
223,patients,24,1,bardet,6,-1.5472862207588916
224,patients,25,1,bardet,0,-0.11273700360477416
225,patients,25,1,bardet,1,-0.0021805917577281952
226,patients,25,1,bardet,2,-0.19687243870594862
227,patients,25,1,bardet,3,0.7763845131222286
228,patients,25,1,bardet,4,0.08488793442818292
229,patients,25,1,bardet,5,2.5065807821606314
230,patients,25,1,bardet,6,-0.23579814416413333
231,patients,26,1,bardet,0,-0.41331854563088294
232,patients,26,1,bardet,1,-0.4906165739120958
233,patients,26,1,bardet,2,0.020461633708306403
234,patients,26,1,bardet,3,-0.6391810304630695
235,patients,26,1,bardet,4,-0.028537151123872142
236,patients,26,1,bardet,5,2.484393143369311
237,patients,26,1,bardet,6,-0.08042654579038386
238,patients,27,1,commere,0,0.3402460289329847
239,patients,27,1,commere,1,0.26366093981886685
240,patients,27,1,commere,2,0.815116904098325
241,patients,27,1,commere,3,0.41084363318409445
242,patients,27,1,commere,4,0.03201132006363337
243,patients,27,1,commere,5,2.2117101175849654
244,patients,27,1,commere,6,1.0434659177445627
245,patients,28,1,commere,0,-1.5722412153502958
246,patients,28,1,commere,1,1.3226362958626698
247,patients,28,1,commere,2,1.2095168334761932
248,patients,28,1,commere,3,0.018191882810605305
249,patients,28,1,commere,4,-0.5564107834278875
250,patients,28,1,commere,5,-0.9785293563082541
251,patients,28,1,commere,6,-0.219809493621513
252,patients,29,1,commere,0,0.8283447416714698
253,patients,29,1,commere,1,-0.03190685709572126
254,patients,29,1,commere,2,1.2201371141449504
255,patients,29,1,commere,3,-0.08748526924318879
256,patients,29,1,commere,4,1.9192032238642283
257,patients,29,1,commere,5,0.8831328309382857
258,patients,29,1,commere,6,0.5942845111519065
259,patients,30,1,commere,0,-0.038850148059273254
260,patients,30,1,commere,1,-0.24304309215274325
261,patients,30,1,commere,2,-0.30049735125814026
262,patients,30,1,commere,3,0.8180330685811216
263,patients,30,1,commere,4,-0.10307155224860341
264,patients,30,1,commere,5,2.4168243193419365
265,patients,30,1,commere,6,-0.5729576131806342
266,patients,31,1,commere,0,0.12831864938877
267,patients,31,1,commere,1,-0.02623809930709977
268,patients,31,1,commere,2,-0.40293939025063413
269,patients,31,1,commere,3,-1.1249615596126714
270,patients,31,1,commere,4,0.3655797651768094
271,patients,31,1,commere,5,2.307950608023089
272,patients,31,1,commere,6,0.30767295909973696
273,patients,32,1,commere,0,1.6296619456935153
274,patients,32,1,commere,1,-0.09219851486591707
275,patients,32,1,commere,2,-0.17926759829235697
276,patients,32,1,commere,3,-1.681586293125826
277,patients,32,1,commere,4,0.5551456994436103
278,patients,32,1,commere,5,1.0805655521912159
279,patients,32,1,commere,6,-0.004835638089770157
280,patients,33,1,commere,0,1.050173976834072
281,patients,33,1,commere,1,-1.0944060094959565
282,patients,33,1,commere,2,1.5784616557502806
283,patients,33,1,commere,3,0.9858962515457231
284,patients,33,1,commere,4,1.1037047503316513
285,patients,33,1,commere,5,0.13292344544579246
286,patients,33,1,commere,6,0.006683488609070268
287,patients,34,1,commere,0,-1.0732061527150354
288,patients,34,1,commere,1,-0.3994658677867791
289,patients,34,1,commere,2,-1.6733333189096695
290,patients,34,1,commere,3,-1.221355307050585
291,patients,34,1,commere,4,0.5517164403031464
292,patients,34,1,commere,5,0.9927082565115408
293,patients,34,1,commere,6,-0.32717224663334465
294,patients,35,1,jeulin,0,-1.6691962368384463
295,patients,35,1,jeulin,1,-1.5381787744462996
296,patients,35,1,jeulin,2,-0.27828638124785654
297,patients,35,1,jeulin,3,-0.3524751809413478
298,patients,35,1,jeulin,4,-0.874501562769377
299,patients,35,1,jeulin,5,-0.0888428615446937
300,patients,35,1,jeulin,6,-0.9345918254864273
301,patients,35,2,jeulin,0,1.4484951381396864
302,patients,35,2,jeulin,1,0.6949003862186863
303,patients,35,2,jeulin,2,-0.25383149596378896
304,patients,35,2,jeulin,3,-0.7314751427657041
305,patients,35,2,jeulin,4,-0.11050523713896218
306,patients,35,2,jeulin,5,-1.9175865714434543
