StimA,StimB
male_vraiment_flat_143.wav,male_vraiment_flat_54.wav
male_vraiment_flat_144.wav,male_vraiment_flat_55.wav
male_vraiment_flat_145.wav,male_vraiment_flat_56.wav
male_vraiment_flat_146.wav,male_vraiment_flat_57.wav
male_vraiment_flat_147.wav,male_vraiment_flat_58.wav
male_vraiment_flat_148.wav,male_vraiment_flat_59.wav
male_vraiment_flat_149.wav,male_vraiment_flat_6.wav
male_vraiment_flat_15.wav,male_vraiment_flat_60.wav
male_vraiment_flat_150.wav,male_vraiment_flat_61.wav
male_vraiment_flat_151.wav,male_vraiment_flat_62.wav
male_vraiment_flat_152.wav,male_vraiment_flat_63.wav
male_vraiment_flat_153.wav,male_vraiment_flat_64.wav
male_vraiment_flat_154.wav,male_vraiment_flat_65.wav
male_vraiment_flat_155.wav,male_vraiment_flat_66.wav
male_vraiment_flat_156.wav,male_vraiment_flat_67.wav
male_vraiment_flat_157.wav,male_vraiment_flat_68.wav
male_vraiment_flat_158.wav,male_vraiment_flat_69.wav
male_vraiment_flat_159.wav,male_vraiment_flat_7.wav
male_vraiment_flat_16.wav,male_vraiment_flat_70.wav
male_vraiment_flat_160.wav,male_vraiment_flat_71.wav
male_vraiment_flat_161.wav,male_vraiment_flat_72.wav
male_vraiment_flat_162.wav,male_vraiment_flat_73.wav
male_vraiment_flat_163.wav,male_vraiment_flat_74.wav
male_vraiment_flat_164.wav,male_vraiment_flat_75.wav
male_vraiment_flat_165.wav,male_vraiment_flat_76.wav
male_vraiment_flat_166.wav,male_vraiment_flat_77.wav
male_vraiment_flat_167.wav,male_vraiment_flat_78.wav
male_vraiment_flat_168.wav,male_vraiment_flat_79.wav
male_vraiment_flat_169.wav,male_vraiment_flat_8.wav
male_vraiment_flat_17.wav,male_vraiment_flat_80.wav
male_vraiment_flat_170.wav,male_vraiment_flat_81.wav
male_vraiment_flat_171.wav,male_vraiment_flat_82.wav
male_vraiment_flat_172.wav,male_vraiment_flat_83.wav
male_vraiment_flat_173.wav,male_vraiment_flat_84.wav
male_vraiment_flat_174.wav,male_vraiment_flat_85.wav
male_vraiment_flat_175.wav,male_vraiment_flat_86.wav
male_vraiment_flat_176.wav,male_vraiment_flat_87.wav
male_vraiment_flat_177.wav,male_vraiment_flat_88.wav
male_vraiment_flat_178.wav,male_vraiment_flat_89.wav
male_vraiment_flat_179.wav,male_vraiment_flat_9.wav
male_vraiment_flat_18.wav,male_vraiment_flat_90.wav
male_vraiment_flat_180.wav,male_vraiment_flat_91.wav
male_vraiment_flat_181.wav,male_vraiment_flat_92.wav
male_vraiment_flat_182.wav,male_vraiment_flat_93.wav
male_vraiment_flat_183.wav,male_vraiment_flat_94.wav
male_vraiment_flat_184.wav,male_vraiment_flat_95.wav
male_vraiment_flat_185.wav,male_vraiment_flat_96.wav
male_vraiment_flat_186.wav,male_vraiment_flat_97.wav
male_vraiment_flat_187.wav,male_vraiment_flat_98.wav
male_vraiment_flat_188.wav,male_vraiment_flat_99.wav
